"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.335,0.696,4,-7.437,1,0.0348,0.294,0.00000185,0.588,0.542,146.107,audio_features,01JMnmvutzbcn3Y6Fd612N,spotify:track:01JMnmvutzbcn3Y6Fd612N,https://api.spotify.com/v1/tracks/01JMnmvutzbcn3Y6Fd612N,https://api.spotify.com/v1/audio-analysis/01JMnmvutzbcn3Y6Fd612N,272000,4,yuni-ayunda,Sejuta Luka
0.354,0.945,10,-6.212,1,0.0609,0.0613,0.0000192,0.619,0.814,172.925,audio_features,5301ZszqVqaSSt2WTdBrC7,spotify:track:5301ZszqVqaSSt2WTdBrC7,https://api.spotify.com/v1/tracks/5301ZszqVqaSSt2WTdBrC7,https://api.spotify.com/v1/audio-analysis/5301ZszqVqaSSt2WTdBrC7,323191,4,yuni-ayunda,Pilih Dia
0.505,0.791,4,-6.413,0,0.0534,0.673,0.000028,0.217,0.757,143.273,audio_features,2AGQahYM5w7tbDJaxUZe0f,spotify:track:2AGQahYM5w7tbDJaxUZe0f,https://api.spotify.com/v1/tracks/2AGQahYM5w7tbDJaxUZe0f,https://api.spotify.com/v1/audio-analysis/2AGQahYM5w7tbDJaxUZe0f,249262,4,yuni-ayunda,Ay
0.64,0.648,2,-6.414,0,0.0324,0.603,0.00000913,0.414,0.752,129.697,audio_features,2VgzMLzvB44ukz0jaCt84p,spotify:track:2VgzMLzvB44ukz0jaCt84p,https://api.spotify.com/v1/tracks/2VgzMLzvB44ukz0jaCt84p,https://api.spotify.com/v1/audio-analysis/2VgzMLzvB44ukz0jaCt84p,351951,4,yuni-ayunda,Tiada Guna
0.464,0.639,7,-7.56,0,0.0347,0.517,0.00000255,0.197,0.526,143.005,audio_features,04r70f3ydcQT8ve4jN1AXL,spotify:track:04r70f3ydcQT8ve4jN1AXL,https://api.spotify.com/v1/tracks/04r70f3ydcQT8ve4jN1AXL,https://api.spotify.com/v1/audio-analysis/04r70f3ydcQT8ve4jN1AXL,194287,4,yuni-ayunda,Lara Hati
0.493,0.846,11,-6.638,0,0.0311,0.14,0.000943,0.299,0.854,137.833,audio_features,14gqRgmbHzde3ZtM7efz7B,spotify:track:14gqRgmbHzde3ZtM7efz7B,https://api.spotify.com/v1/tracks/14gqRgmbHzde3ZtM7efz7B,https://api.spotify.com/v1/audio-analysis/14gqRgmbHzde3ZtM7efz7B,204342,4,yuni-ayunda,Mabuk Cinta
0.626,0.675,4,-7.091,1,0.0375,0.47,0,0.316,0.713,134.754,audio_features,4LccXnsusrjamFJASgGf0e,spotify:track:4LccXnsusrjamFJASgGf0e,https://api.spotify.com/v1/tracks/4LccXnsusrjamFJASgGf0e,https://api.spotify.com/v1/audio-analysis/4LccXnsusrjamFJASgGf0e,321802,4,yuni-ayunda,Sayang
0.441,0.699,0,-6.687,1,0.111,0.565,0.00000348,0.593,0.889,149.032,audio_features,7pSRm69rImXigKfuMYN7rX,spotify:track:7pSRm69rImXigKfuMYN7rX,https://api.spotify.com/v1/tracks/7pSRm69rImXigKfuMYN7rX,https://api.spotify.com/v1/audio-analysis/7pSRm69rImXigKfuMYN7rX,241062,4,yuni-ayunda,Jodi
0.532,0.791,9,-7.272,0,0.0355,0.311,0.00000141,0.574,0.829,146.751,audio_features,2dtDUkaf954YQ5QRNolD4i,spotify:track:2dtDUkaf954YQ5QRNolD4i,https://api.spotify.com/v1/tracks/2dtDUkaf954YQ5QRNolD4i,https://api.spotify.com/v1/audio-analysis/2dtDUkaf954YQ5QRNolD4i,174158,4,yuni-ayunda,Jamilah
0.554,0.691,5,-6.685,0,0.0342,0.654,0.0000401,0.147,0.667,135.446,audio_features,4aLd3hk0RC7vxEmB8i9swX,spotify:track:4aLd3hk0RC7vxEmB8i9swX,https://api.spotify.com/v1/tracks/4aLd3hk0RC7vxEmB8i9swX,https://api.spotify.com/v1/audio-analysis/4aLd3hk0RC7vxEmB8i9swX,404619,4,yuni-ayunda,Lungset
0.392,0.565,7,-7.138,1,0.0547,0.422,0,0.206,0.245,149.168,audio_features,76ZgF76Vd1s4YNXoA6vYbT,spotify:track:76ZgF76Vd1s4YNXoA6vYbT,https://api.spotify.com/v1/tracks/76ZgF76Vd1s4YNXoA6vYbT,https://api.spotify.com/v1/audio-analysis/76ZgF76Vd1s4YNXoA6vYbT,238410,4,yuni-ayunda,Aku Lelakimu
