"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.673,0.931,6,-1.566,0,0.081,0.475,0.00000195,0.246,0.815,160.03,audio_features,3JFglB6PxVpZrDzlBpeMdg,spotify:track:3JFglB6PxVpZrDzlBpeMdg,https://api.spotify.com/v1/tracks/3JFglB6PxVpZrDzlBpeMdg,https://api.spotify.com/v1/audio-analysis/3JFglB6PxVpZrDzlBpeMdg,270947,4,wiwik-sagita,Anti Galau
0.653,0.943,5,-1.324,1,0.0633,0.23,0.00000326,0.0956,0.496,94.919,audio_features,7yaKLzhVaz7BinXPjiFIii,spotify:track:7yaKLzhVaz7BinXPjiFIii,https://api.spotify.com/v1/tracks/7yaKLzhVaz7BinXPjiFIii,https://api.spotify.com/v1/audio-analysis/7yaKLzhVaz7BinXPjiFIii,328107,4,wiwik-sagita,Masalalu 2
0.718,0.916,4,-0.945,0,0.187,0.489,0,0.139,0.849,149.972,audio_features,2ohPh7PbOdjbdf9eng6BCx,spotify:track:2ohPh7PbOdjbdf9eng6BCx,https://api.spotify.com/v1/tracks/2ohPh7PbOdjbdf9eng6BCx,https://api.spotify.com/v1/audio-analysis/2ohPh7PbOdjbdf9eng6BCx,293867,4,wiwik-sagita,Ora Patek En
0.754,0.843,10,-2.287,0,0.0598,0.377,0,0.0548,0.92,150.032,audio_features,6uRxEJqq36Y9eYc9PLeDLn,spotify:track:6uRxEJqq36Y9eYc9PLeDLn,https://api.spotify.com/v1/tracks/6uRxEJqq36Y9eYc9PLeDLn,https://api.spotify.com/v1/audio-analysis/6uRxEJqq36Y9eYc9PLeDLn,327787,4,wiwik-sagita,Di Reject
0.556,0.953,4,-5.965,0,0.0334,0.0162,0.0503,0.0499,0.93,159.997,audio_features,0y5j8ToOUcCeLTUaNavCZR,spotify:track:0y5j8ToOUcCeLTUaNavCZR,https://api.spotify.com/v1/tracks/0y5j8ToOUcCeLTUaNavCZR,https://api.spotify.com/v1/audio-analysis/0y5j8ToOUcCeLTUaNavCZR,376581,4,wiwik-sagita,Mendem Kangen
0.663,0.842,0,-6.026,1,0.0336,0.047,0.0575,0.376,0.808,145.006,audio_features,3kXc0j5su1cwtmTXhn1ONL,spotify:track:3kXc0j5su1cwtmTXhn1ONL,https://api.spotify.com/v1/tracks/3kXc0j5su1cwtmTXhn1ONL,https://api.spotify.com/v1/audio-analysis/3kXc0j5su1cwtmTXhn1ONL,257620,4,wiwik-sagita,Bang Jali
0.582,0.975,0,-5.453,1,0.03,0.0228,0.0329,0.301,0.897,150.026,audio_features,4bNDyzUiC2KurlH80sZbsC,spotify:track:4bNDyzUiC2KurlH80sZbsC,https://api.spotify.com/v1/tracks/4bNDyzUiC2KurlH80sZbsC,https://api.spotify.com/v1/audio-analysis/4bNDyzUiC2KurlH80sZbsC,316160,4,wiwik-sagita,Taline Asmoro
0.567,0.929,4,-4.193,0,0.0398,0.00835,0.00123,0.348,0.751,170.034,audio_features,1Y81qC8ov70mx2e52lJEqb,spotify:track:1Y81qC8ov70mx2e52lJEqb,https://api.spotify.com/v1/tracks/1Y81qC8ov70mx2e52lJEqb,https://api.spotify.com/v1/audio-analysis/1Y81qC8ov70mx2e52lJEqb,327471,4,wiwik-sagita,Wedhus
0.615,0.903,5,-3.181,0,0.0304,0.023,0.00057,0.315,0.751,111.99,audio_features,14FUhrVXlCwRSBdOIOGDAp,spotify:track:14FUhrVXlCwRSBdOIOGDAp,https://api.spotify.com/v1/tracks/14FUhrVXlCwRSBdOIOGDAp,https://api.spotify.com/v1/audio-analysis/14FUhrVXlCwRSBdOIOGDAp,327236,4,wiwik-sagita,Cintai Aku Karena Allah (Caka)
0.697,0.871,0,-5.714,0,0.0341,0.0664,0.00136,0.107,0.588,125.009,audio_features,76dUOFr1TuPeervdTUUxTy,spotify:track:76dUOFr1TuPeervdTUUxTy,https://api.spotify.com/v1/tracks/76dUOFr1TuPeervdTUUxTy,https://api.spotify.com/v1/audio-analysis/76dUOFr1TuPeervdTUUxTy,367151,4,wiwik-sagita,Takut Kehilangan
