"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.598,0.809,4,-3.11,1,0.0274,0.384,0,0.0956,0.731,139.916,audio_features,6ACeVvUwiqmZb62d9hkWpS,spotify:track:6ACeVvUwiqmZb62d9hkWpS,https://api.spotify.com/v1/tracks/6ACeVvUwiqmZb62d9hkWpS,https://api.spotify.com/v1/audio-analysis/6ACeVvUwiqmZb62d9hkWpS,395598,4
0.612,0.802,7,-2.694,0,0.0321,0.326,0,0.198,0.447,145.019,audio_features,2DtCNL3lLifuxTP1h79Z3S,spotify:track:2DtCNL3lLifuxTP1h79Z3S,https://api.spotify.com/v1/tracks/2DtCNL3lLifuxTP1h79Z3S,https://api.spotify.com/v1/audio-analysis/2DtCNL3lLifuxTP1h79Z3S,318433,4
0.658,0.676,8,-4.761,1,0.0254,0.415,0.0000624,0.0509,0.575,125.032,audio_features,75ucDUBDTJnPXk6p2qluot,spotify:track:75ucDUBDTJnPXk6p2qluot,https://api.spotify.com/v1/tracks/75ucDUBDTJnPXk6p2qluot,https://api.spotify.com/v1/audio-analysis/75ucDUBDTJnPXk6p2qluot,395389,4
0.539,0.779,0,-4.763,1,0.0343,0.449,0,0.125,0.537,179.894,audio_features,6OKS0qhTkiockgYdDs5ofH,spotify:track:6OKS0qhTkiockgYdDs5ofH,https://api.spotify.com/v1/tracks/6OKS0qhTkiockgYdDs5ofH,https://api.spotify.com/v1/audio-analysis/6OKS0qhTkiockgYdDs5ofH,273476,4
0.641,0.595,7,-3.921,1,0.0249,0.349,0,0.333,0.373,117.008,audio_features,6f8DWWUmvypIejpIhuFNEC,spotify:track:6f8DWWUmvypIejpIhuFNEC,https://api.spotify.com/v1/tracks/6f8DWWUmvypIejpIhuFNEC,https://api.spotify.com/v1/audio-analysis/6f8DWWUmvypIejpIhuFNEC,338312,4
0.573,0.717,2,-3.648,1,0.0253,0.193,0,0.114,0.479,134.993,audio_features,2DB33xCUExf7Txz8B1FvVC,spotify:track:2DB33xCUExf7Txz8B1FvVC,https://api.spotify.com/v1/tracks/2DB33xCUExf7Txz8B1FvVC,https://api.spotify.com/v1/audio-analysis/2DB33xCUExf7Txz8B1FvVC,288496,4
0.685,0.897,0,-3.937,1,0.0282,0.309,0.00000118,0.219,0.677,140.015,audio_features,1Lej0Mzieoi1E0pzrQvi0x,spotify:track:1Lej0Mzieoi1E0pzrQvi0x,https://api.spotify.com/v1/tracks/1Lej0Mzieoi1E0pzrQvi0x,https://api.spotify.com/v1/audio-analysis/1Lej0Mzieoi1E0pzrQvi0x,266136,4
0.705,0.665,5,-7.862,1,0.0633,0.203,0,0.393,0.8,133.926,audio_features,4jDQSss7wQxmUdTtwx1elb,spotify:track:4jDQSss7wQxmUdTtwx1elb,https://api.spotify.com/v1/tracks/4jDQSss7wQxmUdTtwx1elb,https://api.spotify.com/v1/audio-analysis/4jDQSss7wQxmUdTtwx1elb,218462,4
0.433,0.68,5,-7.839,0,0.0353,0.157,0,0.0785,0.771,162.673,audio_features,0yVamByazJJxZAjV6iEQzy,spotify:track:0yVamByazJJxZAjV6iEQzy,https://api.spotify.com/v1/tracks/0yVamByazJJxZAjV6iEQzy,https://api.spotify.com/v1/audio-analysis/0yVamByazJJxZAjV6iEQzy,281051,4
0.561,0.594,5,-7.709,0,0.0318,0.205,0.000002,0.0615,0.897,134.992,audio_features,1e9DHhKilDel475mskIPy8,spotify:track:1e9DHhKilDel475mskIPy8,https://api.spotify.com/v1/tracks/1e9DHhKilDel475mskIPy8,https://api.spotify.com/v1/audio-analysis/1e9DHhKilDel475mskIPy8,297561,4
